UserID,LoginTime,LogoutTime,IP_Address,DeviceType,Location,FailedLoginAttempts,SessionDuration,ResourceAccessed,CLASS_LABEL
1051,2025-01-01 00:00:00,2025-01-01 01:00:00,10.0.0.1,Desktop,USA,2,47,Dashboard,0
1092,2025-01-01 01:00:00,2025-01-01 02:00:00,172.16.0.1,Mobile,Germany,1,70,Admin,0
1014,2025-01-01 02:00:00,2025-01-01 03:00:00,192.168.1.1,Mobile,USA,2,78,Admin,0
1071,2025-01-01 03:00:00,2025-01-01 04:00:00,172.16.0.1,Mobile,USA,3,65,Dashboard,0
1060,2025-01-01 04:00:00,2025-01-01 05:00:00,10.0.0.1,Mobile,Germany,0,47,Dashboard,0
1020,2025-01-01 05:00:00,2025-01-01 06:00:00,192.168.1.1,Tablet,India,3,29,Dashboard,0
1082,2025-01-01 06:00:00,2025-01-01 07:00:00,192.168.1.1,Tablet,India,0,24,Files,0
1086,2025-01-01 07:00:00,2025-01-01 08:00:00,10.0.0.1,Tablet,India,4,52,Files,0
1074,2025-01-01 08:00:00,2025-01-01 09:00:00,10.0.0.1,Tablet,India,1,87,Admin,0
1074,2025-01-01 09:00:00,2025-01-01 10:00:00,10.0.0.1,Tablet,India,4,91,Files,0
1087,2025-01-01 10:00:00,2025-01-01 11:00:00,172.16.0.1,Mobile,USA,4,28,Settings,0
1099,2025-01-01 11:00:00,2025-01-01 12:00:00,172.16.0.1,Mobile,India,3,15,Admin,0
1023,2025-01-01 12:00:00,2025-01-01 13:00:00,192.168.1.1,Mobile,USA,1,114,Files,0
1002,2025-01-01 13:00:00,2025-01-01 14:00:00,10.0.0.1,Mobile,USA,0,102,Dashboard,0
1021,2025-01-01 14:00:00,2025-01-01 15:00:00,192.168.1.1,Tablet,USA,0,59,Settings,0
1052,2025-01-01 15:00:00,2025-01-01 16:00:00,192.168.1.1,Tablet,Germany,2,32,Dashboard,0
1001,2025-01-01 16:00:00,2025-01-01 17:00:00,192.168.1.1,Tablet,Germany,0,73,Admin,0
1087,2025-01-01 17:00:00,2025-01-01 18:00:00,192.168.1.1,Desktop,USA,3,67,Dashboard,0
1029,2025-01-01 18:00:00,2025-01-01 19:00:00,10.0.0.1,Mobile,Germany,4,63,Files,0
1037,2025-01-01 19:00:00,2025-01-01 20:00:00,192.168.1.1,Mobile,India,4,9,Files,0
1001,2025-01-01 20:00:00,2025-01-01 21:00:00,10.0.0.1,Tablet,India,4,55,Admin,0
1063,2025-01-01 21:00:00,2025-01-01 22:00:00,10.0.0.1,Mobile,USA,1,25,Dashboard,0
1059,2025-01-01 22:00:00,2025-01-01 23:00:00,172.16.0.1,Mobile,India,0,16,Admin,0
1020,2025-01-01 23:00:00,2025-01-02 00:00:00,10.0.0.1,Tablet,USA,3,54,Dashboard,0
1032,2025-01-02 00:00:00,2025-01-02 01:00:00,172.16.0.1,Desktop,USA,1,8,Settings,0
1075,2025-01-02 01:00:00,2025-01-02 02:00:00,10.0.0.1,Desktop,India,2,117,Files,0
1057,2025-01-02 02:00:00,2025-01-02 03:00:00,10.0.0.1,Desktop,Germany,3,46,Admin,0
1021,2025-01-02 03:00:00,2025-01-02 04:00:00,10.0.0.1,Tablet,India,3,88,Settings,0
1088,2025-01-02 04:00:00,2025-01-02 05:00:00,172.16.0.1,Mobile,India,3,42,Settings,0
1048,2025-01-02 05:00:00,2025-01-02 06:00:00,172.16.0.1,Tablet,USA,4,29,Admin,0
